id,year,month,cost_type,monthly_amount_musd,cumulative_amount_musd,project_id
1,2019,5,FGRS_RCE,15.506369,15.506369,1
2,2019,6,FGRS_RCE,33.99827,49.504638,1
3,2019,7,FGRS_RCE,54.469964,103.974602,1
4,2019,8,FGRS_RCE,76.816034,180.790636,1
5,2019,9,FGRS_RCE,100.370881,281.161517,1
6,2019,10,FGRS_RCE,124.382916,405.544433,1
7,2019,11,FGRS_RCE,145.524644,551.069077,1
8,2019,12,FGRS_RCE,167.155044,718.224121,1
9,2020,1,FGRS_RCE,186.663035,904.887156,1
10,2020,2,FGRS_RCE,205.168343,1110.055499,1
11,2020,3,FGRS_RCE,221.856628,1331.912127,1
12,2020,4,FGRS_RCE,234.176672,1566.088799,1
13,2020,5,FGRS_RCE,242.235106,1808.323904,1
14,2020,6,FGRS_RCE,250.990529,2059.314433,1
15,2020,7,FGRS_RCE,257.512824,2316.827257,1
16,2020,8,FGRS_RCE,262.79303,2579.620287,1
17,2020,9,FGRS_RCE,271.715111,2851.335398,1
18,2020,10,FGRS_RCE,276.031296,3127.366694,1
19,2020,11,FGRS_RCE,282.734094,3410.100788,1
20,2020,12,FGRS_RCE,287.628516,3697.729303,1
21,2021,1,FGRS_RCE,291.323438,3989.052741,1
22,2021,2,FGRS_RCE,295.20164,4284.254381,1
23,2021,3,FGRS_RCE,300.104263,4584.358644,1
24,2021,4,FGRS_RCE,304.290406,4888.64905,1
25,2021,5,FGRS_RCE,309.037899,5197.686949,1
26,2021,6,FGRS_RCE,312.994234,5510.681183,1
27,2021,7,FGRS_RCE,317.03329,5827.714473,1
28,2021,8,FGRS_RCE,320.988358,6148.702831,1
29,2021,9,FGRS_RCE,324.784318,6473.487149,1
30,2021,10,FGRS_RCE,328.107508,6801.594657,1
31,2021,11,FGRS_RCE,333.014983,7134.60964,1
32,2021,12,FGRS_RCE,337.184969,7471.79461,1
33,2022,1,FGRS_RCE,341.639348,7813.433957,1
34,2022,2,FGRS_RCE,346.546474,8159.980432,1
35,2022,3,FGRS_RCE,351.038602,8511.019033,1
36,2022,4,FGRS_RCE,355.406849,8866.425883,1
37,2022,5,FGRS_RCE,360.554948,9226.98083,1
38,2022,6,FGRS_RCE,364.568207,9591.549038,1
39,2022,7,FGRS_RCE,368.586954,9960.135992,1
40,2022,8,FGRS_RCE,372.352839,10332.488831,1
41,2022,9,FGRS_RCE,377.395956,10709.884787,1
42,2022,10,FGRS_RCE,381.585352,11091.470139,1
43,2022,11,FGRS_RCE,385.905844,11477.375983,1
44,2022,12,FGRS_RCE,390.270322,11867.646305,1
45,2023,1,FGRS_RCE,394.74172,12262.388025,1
46,2023,2,FGRS_RCE,399.317774,12661.705799,1
47,2023,3,FGRS_RCE,403.669521,13065.37532,1
48,2023,4,FGRS_RCE,406.595562,13471.970882,1
49,2023,5,FGRS_RCE,410.771681,13882.742564,1
50,2023,6,FGRS_RCE,414.749308,14297.491872,1
51,2023,7,FGRS_RCE,418.499909,14715.991782,1
52,2023,8,FGRS_RCE,422.241252,15138.233033,1
53,2023,9,FGRS_RCE,425.66433,15563.897364,1
54,2023,10,FGRS_RCE,429.46733,15993.364694,1
55,2023,11,FGRS_RCE,434.299066,16427.663759,1
56,2023,12,FGRS_RCE,438.903645,16866.567404,1
57,2019,5,LOGI_RCE,15.506369,15.506369,1
58,2019,6,LOGI_RCE,18.491901,33.99827,1
59,2019,7,LOGI_RCE,20.471694,54.469964,1
60,2019,8,LOGI_RCE,22.34607,76.816034,1
61,2019,9,LOGI_RCE,23.554847,100.370881,1
62,2019,10,LOGI_RCE,24.012034,124.382916,1
63,2019,11,LOGI_RCE,21.141728,145.524644,1
64,2019,12,LOGI_RCE,21.630401,167.155044,1
65,2020,1,LOGI_RCE,19.50799,186.663035,1
66,2020,2,LOGI_RCE,18.505308,205.168343,1
67,2020,3,LOGI_RCE,16.688285,221.856628,1
68,2020,4,LOGI_RCE,12.320043,234.176672,1
69,2020,5,LOGI_RCE,8.058434,242.235106,1
70,2020,6,LOGI_RCE,8.755423,250.990529,1
71,2020,7,LOGI_RCE,6.522295,257.512824,1
72,2020,8,LOGI_RCE,5.280206,262.79303,1
73,2020,9,LOGI_RCE,8.922082,271.715111,1
74,2020,10,LOGI_RCE,4.316184,276.031296,1
75,2020,11,LOGI_RCE,6.702798,282.734094,1
76,2020,12,LOGI_RCE,4.894422,287.628516,1
77,2021,1,LOGI_RCE,3.694922,291.323438,1
78,2021,2,LOGI_RCE,3.878202,295.20164,1
79,2021,3,LOGI_RCE,4.902623,300.104263,1
80,2021,4,LOGI_RCE,4.186143,304.290406,1
81,2021,5,LOGI_RCE,4.747493,309.037899,1
82,2021,6,LOGI_RCE,3.956335,312.994234,1
83,2021,7,LOGI_RCE,4.039057,317.03329,1
84,2021,8,LOGI_RCE,3.955068,320.988358,1
85,2021,9,LOGI_RCE,3.79596,324.784318,1
86,2021,10,LOGI_RCE,3.32319,328.107508,1
87,2021,11,LOGI_RCE,4.907475,333.014983,1
88,2021,12,LOGI_RCE,4.169986,337.184969,1
89,2022,1,LOGI_RCE,4.454379,341.639348,1
90,2022,2,LOGI_RCE,4.907127,346.546474,1
91,2022,3,LOGI_RCE,4.492127,351.038602,1
92,2022,4,LOGI_RCE,4.368248,355.406849,1
93,2022,5,LOGI_RCE,5.148098,360.554948,1
94,2022,6,LOGI_RCE,4.01326,364.568207,1
95,2022,7,LOGI_RCE,4.018746,368.586954,1
96,2022,8,LOGI_RCE,3.765885,372.352839,1
97,2022,9,LOGI_RCE,5.043117,377.395956,1
98,2022,10,LOGI_RCE,4.189396,381.585352,1
99,2022,11,LOGI_RCE,4.320491,385.905844,1
100,2022,12,LOGI_RCE,4.364479,390.270322,1
101,2023,1,LOGI_RCE,4.471398,394.74172,1
102,2023,2,LOGI_RCE,4.576053,399.317774,1
103,2023,3,LOGI_RCE,4.351748,403.669521,1
104,2023,4,LOGI_RCE,2.926041,406.595562,1
105,2023,5,LOGI_RCE,4.176119,410.771681,1
106,2023,6,LOGI_RCE,3.977627,414.749308,1
107,2023,7,LOGI_RCE,3.750601,418.499909,1
108,2023,8,LOGI_RCE,3.741342,422.241252,1
109,2023,9,LOGI_RCE,3.423079,425.66433,1
110,2023,10,LOGI_RCE,3.803,429.46733,1
111,2023,11,LOGI_RCE,4.831735,434.299066,1
112,2023,12,LOGI_RCE,4.604579,438.903645,1
