vo_id,project_id,vo_number,vo_name,amount_usd,status,approved_in_amendment,approved_date
1,1,10,APPROVED VOs (VO No. 1 - 9),26358170,APPROVED,3,
2,1,10,APPROVED VOs (VO No. 1 - 9),26358170,APPROVED,4,
3,1,10,APPROVED VOs (VO No. 1 - 9),26358170,APPROVED,5,
4,1,10,APPROVED VOs (VO No. 1 - 9),26358170,APPROVED,6,
5,1,11,APPROVED VOs (VO No. 10),6788254,APPROVED,4,
6,1,11,APPROVED VOs (VO No. 10),6788254,APPROVED,5,
7,1,11,APPROVED VOs (VO No. 10),6788254,APPROVED,6,
8,1,12,Existing VORs agreed as part of AMENDMENT 3,3884888,APPROVED,4,
9,1,12,Existing VORs agreed as part of AMENDMENT 3,3884888,APPROVED,5,
10,1,12,Existing VORs agreed as part of AMENDMENT 3,3884888,APPROVED,6,
11,1,6,List of VARIATIONS,36933653,APPROVED,5,
12,1,6,List of VARIATIONS,48733653,APPROVED,6,
